AUTHOR,TOTAL BOOKS,BOOK TITLES
"Bhatia, K. N.; Mishra, C. S.",1,"Super simplified biology term 1-2, class 9"
"Bhatia, L",2,"We are the world: Value education and life skills,We are the world: Value education and life skills"
"Bhatia, P",7,"Mathematics,Mathematics,Now and then :general knowledge series,Now and then 3,Now and then 3,Now and then 4,Now and then 6"
"Bhatia, R and Banerjee, S",1,Social Studies
"Bhatia, R.",2,"Together with Social Studies,Together with Social Studies"
"Bhatia, Richa D.",2,"Toghether with mathematics - Includes math kit,Toghether with mathematics - Includes math kit"
"Bhatia, S K",2,"Business Studies,Business Studies"
"Bhatia, V",1,Science and technology
"Bhatia,s. s.",1,Learn english Grammar
"Bhatiya, Reetika Gulanti",1,"Laboratory manual : Chemistry,  class 11"
"Bhatnagar, N, Sangal, A and Anand, S",5,"Pathways To Social Science,Pathways to Social Studies,Social Science,Social Science CCE Edition,Social Science CCE Edition"
"Bhatnagar, N, Sangal, A and Dubey, M",2,"Pathways To Social Studies,Social Science CCE Edition"
"Bhatnagar, Seema",1,Textbook of computer science
"Bhatnagar, V R",1,Focus on General Knowledge
"Bhatnagar, VR",1,Focus on General Knowledge
"Bhatnagar,V. R.",1,Focus on General Knowledge
"Bhatt, A",2,"Interoduction to Computers,Pruquest Social Studies"
"Bhatt, R D, Shah, J M and Qureshi, A A",1,Physics Numericals and Question Bank
"Bhatt, R.L.",2,"Learnwell social science,Learnwell social science"
"Bhattacharya, B",5,"Joy ride,Joyride 4,Let's explore social science 8,Our Social Panorama,Together with science 9"
"Bhattacharya, B and Kumar, A",1,The Hound of the Baskervilles: Arthur convan Doyle
"Bhattacharya, B.",3,"Joyride gk 3,Let's explore social science 6,Our Social Panorama Social Studies"
"Bhavnagari, K.",1,Periwinkle mathematics
"Bhavnagarwala, T",4,"General Knowledge,General Knowledge,General Knowledge,Mathematics"
"Bhavnagarwala, T.",4,"Firefiy General Knowledge,FireFly Plus Grammar And Composition,Grammar and Composition skillsheets,Mathematics Course book"
"Bindra, G",13,"Chips and Bits,Chips and bits : Information Technology Out Look,Chips and Bits : Information Technology Output,Chips and Bits: Information technology,Chips and Bits: Informion Outlook,Chips and Bits:Information Technology outlook,Chips and Bits:Information Technology outlook,Chips and Bits:Information Technology outlook,Chips and Bits:Information Technology outlook,Chips and Bits:Information Technology outlook,Chips and Bits:Information Technology outlook,Chips and Bits:Information Technology outlook,Chips and Bits:Information Technology outlook"
"Bindra, G.",2,"Chips and Bits : - Information technology outlook,Chips and Bits : - Information technology outlook"
"Bindra, Gurupreet",4,"Chips and Bits: Information technology outlook,Chips and Bits: Information technology outlook,Chips and Bits: Information technology outlook,Chips and Bits: Information technology outlook"
"Bir, N",2,"We are the world: Value education and life skills,We are the world: Value education and life skills"
"Bishnoi, Promila;  Kumar, Ravindra",1,Excellence in social studies
"Bishnoi, Saroj; Sudha Sinh",5,"Srishti : pathmala 5,Srishti : pathmala 5,Vyom hindi vyakaran: class 3,Vyom hindi vyakaran: class 4,Vyom hindi vyakaran: class 4"
Blabey aaron,7,"The bad guys : ep 1,The bad guys : ep 2 mission unpluckable,The bad guys : ep 3 the furball strikes back,The bad guys : ep 4 attack of the zittens,The bad guys : ep 5 intergalactic gas,The bad guys : ep 6 alien vs bad guys,The bad guys : ep 7 do you think he saurus?"
"Bloch, Joshua",1,"Effective Java, 2nd ed."
"Bloom, H",1,Willian Golding''s lord of the flies
Blue. F.,1,Tell me more GK. And Life Skills
Blyton Enid,80,"Amelia Jane gets into Trouble,Amelia jane naughty again,Bicycle magic and other stories,Collection:three exciting stories in one,Famous five go adventuring again,Five on Brexit Island,Good Idea Amelia jane !,Grandma's of stories,Hello Mr.Twiddle!,Here's the Naughtiest girl,Look out for the elephant and other stories,Mister Meddle's Muddles,Naughty Amelia Jane!,Round the clock,Second form at St Clare's,Second form Malory Towers,Secret Seven,Secret seven :secret seven win through,Summer stories,The adventures of Mr.Pink whistle,The Adventures of the Wishing Chair,The Barney Mysteries,The fairies shoemaker and other stories,The famous five,The famous five,The famous five,The famous five,The famous five :five go to billycock hill,The famous five other stories,The famous five other stories,The famous five other stories,The famous five: five get into trouble,The fly away cottage and other stories,The flyaway money and other stories,The folk of the Faraway tree,The Goblin Hat and other stories,The little brown bear "
"Bnsal, S",1,Social studies
"Bond, Ruskin",20,"Best of Ruskin Bond,Crazy times with uncle ken,Cricket for the crocodile,GK Magic,Great stories for children,Kashmiri story teller,Landour days  :a writer's journal,Looking for the rainbow,Love among the bookshelves,No man is an island,The blue Umbrella,The essential collection for young readers,The hidden pool,The whistling schoolboy,The whistling schoolboy,The wind on haunted hill,Till the clouds roll by beginnig again,Whispers in the dark: a book of spooks,White Mice,White mice"
"Bordia, Meenakshi; Upadhyay, Rakesh",5,"Genius kidz pioneer: acreative english book, class 1,Genius kidz pioneer: acreative english book, class 2,Genius kidz pioneer: acreative english book, class 3,Genius kidz pioneer: acreative english book, class 4,Genius kidz pioneer: acreative english book, class 8"
"Boroliya, E",12,"Moral Studies : Path of living,Moral studies : The Path of Living,Moral Studies : The path of Living,Moral Studies the Path of Living,Moral Studies the Path of Living,Moral Studies: The path of living,Moral Studies: The path of living,Moral Studies: The path of living,Moral Studies: The path of living,Moral Studies: The path of living,Moral Studies: The path of living,Moral Studies: The path of living"
"Bose, A T B",1,New Maths Lab Work Book
"Bose, M",3,"History,History,Universal Science 7"
"Bose, M...et al",1,Together with social science Term-2
"Bose, S",1,Mathematics
"Bose, S D n",1,Made sample English Communicative
BPI worldwide,1,Encylopedia of questions answers
"Brewer, Sarah",1,Human body : a visual guide to human anatomy
Brijbasi Art Press Limited,1,Magic of strories
Britannica,1,Knowledge generaion
"Bronte, E",1,Wuthering Heights
"Bronte, Emily",1,Wuthering heights:Immortal illustrated classics
"Brown, Dan",4,"Da Vinci code,Digital fortress,Inferno,The lost symbol"
"Bruylants, A and Joseph, J D",1,Discovering My self : Value Education
"Bruylants, A S J",1,Discovering my self
Bryson Bill,6,"A walk in the woods,Down under,Neither here nor there :travels in Europe,Notes from a big country,Notes from a Small Island,The lost continent"
"Burne, Rhonda",1,Secret
"Burns, D...et all",9,"English Grammar and Composition,Grammar chest : a book of english grammar and composition,Grammar chest : a book of english grammar and composition,Grammar chest : a book of english grammar and composition,Grammar chest : a book of english grammar and composition,Grammar chest : a book of english grammar and composition,Grammar chest : a book of english grammar and composition,Mastering Grammar,Mastering Grammar 7"
"Burns, David..et al.",5,"Grammar chest : a book of english grammar and composition,Masteing grammar: book of english grammar and composition,Masteing grammar: book of english grammar and composition,Mastering Grammar: book of english grammar and compostion,Mastering Grammar: book of english grammar and compostion, class 8"
"Bynes, Rhonda",2,"Hero: the secret,The Secret"
"Canfield, Jack",2,"Chicken soup for the soul :Indian teachers,Chicken soup for the soul :Indian women"
"Capoor, Monica",3,"Number magic: a textbook of mathematics, class 6,Number magic: a textbook of mathematics, class 7,Number magic: a textbook of mathematics, class 8"
"Capoor,Monica",3,"Textbook of Mathematics, term 1,Class 10,Textbook of Mathematics, term 2,Class 10,Textbook of Mathematics, term 2,Class 9"
"Carnegie, Dale",9,"Develop self confidence improve public speaking,How to develop self confidence and influence people by public speaking,How to develop self confidence influence people by public speaking,How to develop selfconfidence and influence people by public speaking,How to enjoy your job,How to stop worrying and start living,How to win friends and influence people,How to win friends and influence people,How to win friends and influence people"
"Carrasco, E",5,"Basic English Grammar & Composition,Basic English Grammar & Composition,Basic English Grammar And Composition,Basic English Grammar And Composition,Basic English Grammer And Composition"
"Carroll, Lewis",2,"Alice in wonderland:Immortal illustrated classics,Alice''s  adventure in worderland"
"Carroll,L",1,Alice in Wonderland
"Chackppan, P.U.",1,Literature reader
"Chadha, R.",2,"Self master in chemistry, Vol.2,Self master in chemistry, Vol.2"
"Chakraborty, Anwesha",1,"English first, Class 5"
"Chakravarty, Sangeeta",3,"Adventuring beyond: a course in social science 6,Problem solving assessment,Problem solving assessment"
"Chakraverty ,Anima",1,Simple grammar and compositions
"Challacombe, Stephen",1,100 wonders of the world : the finest treasures of civilization and nature on five continents
"Champaneri, V",1,Question bank in Mathematics
Chancellor Press,6,"CHEMISTRY,Tell me  How: answers to hundreds of questions,Tell me about : answers to hundreds of questions,Tell me What: answers to hundreds of questions,Tell me Where: answers to hundreds of questions,Tell me Why: answers to hundreds of questions"
"Chand, K.",1,Science Life today
Chandra Somya,4,"Golden Hindi with sample papers- Course B,Golden Hindi with sample papers- Course B, Term 1& 2,Hindi   10,Hindi   9"
"Chandra, R",4,"Activities in Mathematics,Activities in Mathematics,Drill Exercises in Mathematics,Drill Exercises in Mathematics"
"Chandra, R.",9,"Activity plus in mathematics,Activity plus in mathematics,CBSE Term 2 Chemistry sample papers,Drill excercises in mathematics,Drill excercises in mathematics,Drill Exercises in Mathematics,Drill exercises in mathematics: class 6,Drill exercises in mathematics: class 7,Drill exercises in mathematics: class 8"
Chater Nick,1,The mind is flat
"Chatterjee, M",2,"I want to know 5,On the xpreess way: A Communicative english course"
"Chaturvedi, R",3,"History,Social and Political life Civics,Unmesh : pathyapustak 6"
"Chaturvedi, Vishnu Shawrup",11,"Gulmohar : pathyapustak 5,Gulmohar : Pathyapustak 6,Gulmohar hindi pathypustak: class 1,Gulmohar hindi pathypustak: class 2,Gulmohar hindi pathypustak: class 3,Gulmohar hindi pathypustak: class 4,Gulmohar hindi pathypustak: class 5,Gulmohar hindi pathypustak: class 6,Gulmohar hindi pathypustak: class 7,Gulmohar hindi pathypustak: class 8,Nayi gulmohar : pathyapustak 6"
"Chaudhery, S and Dhulia S",2,"Targeting Mathematics,Targeting Mathematics"
"Chaudhery, S and Dhulia, S",1,Targeting Mathematics
"Chaudhry, L., Tulsi, V and Gupta, V",2,"English Grammar and Composition,Graded English Grammar and Composition"
"Chaudhry, S.",1,Mathematics Laboratory manual
"Chaugh, R K",3,"DigiTech:  A gateway into the World of Information Technology,DigiTech:  A gateway into the World of Information Technology,I. T. Genius : A computer Book of the next generation"
"Chauhaan, S and Gupta J",1,Computer : A Wonder Machine
"Chauhan, K",10,"Exam Mantra sample papers Foudation of Information Technology,Exam Mantra sample Question papers : Foundation of Information Technology,Exam Mantra sample Question papers : Foundation of Information Technology,PetaByte: Learning computers,PetaByte: Learning computers,PetaByte: Learning computers,PetaByte: Learning computers,PetaByte: Learning computers,PetaByte: Learning computers,PetaByte: Learning computers"
"Chauhan, K and Sarivastva, M",1,Cyberbyte: Lerning Computers
"Chauhan, K and Srivastava, M",7,"Cyber Byte Learning : Learning Computers,Cyberbyte : Learning Computer,Cyberbyte : Learning Computers,Cyberbyte : lerning Computer,Tera Byte Plus : Learning Computers,Tera Byte Plus: Learning Computers,Tera Byte Plus: Learning Computers"
"Chauhan, K.",1,TeraByte Plus : Learning Computer
"Chauhan, K. & Gupta, J.",1,Computer : A wonder Machine
"Chauhan, M., Rukhsana and Paul, J C",3,"Social Science,Social Science,Social Science"
"Chauhan, S",1,Computer : A wonder Machine
"Chauhan, S and Gupta, J",1,Computer A Wonder Machine
"Chauhan, S.",1,Computer : A wonder Machine
"chauhan,K",1,PetaByte: Learning computers
"Chawla, H.M.",2,"Mathematics 6,Visualized Science"
"Chawla, N",5,"Excel in Mathematics,Excel in Mathematics,Excel in Mathematics,Excel in Mathematics,Excel in Mathematics"
"Chawla, Nikita",2,"Excel in mathematics: class 7,Excel in mathematics: class 8"
"Chawla, Nisha",5,"Excel in mathematics,Excel in mathematics,Excel in mathematics,Excel in mathematics,Excel in mathematics"
"Chawla, Nitika",3,"Excel in mathematics,Excel in mathematics,Excel in mathematics"
"Chelladurai, C",2,"We are the world: Value education and life skills,We are the world: Value education and life skills"
Chetan Bhagat,2,"Half Girlfriend,The 3 mistakes of my life"
"Chhabra, T N and chhabra, S",1,Business Studies
"Chhabra, T. N.; Chhabra, Sandhya",1,"Business studies: with application, HOTS and evalution based questions including case studies, class 12"
"Chhabra,T.N.",3,"Business studies,Business studies,Business studies"
"Chhibber, S N",4,"Basic Mathematics,Joy of Mathematics 6,Joy of Mathematics 7,Joy of Mathematics 8"
