PUBLISHER,TOTAL BOOKS,BOOK TITLES
Charles Baker Books,13,"Alice in Wonderland,Emma,Heidi,Kim: Rudyard Kipling,Little Women,Oliver Twist,REBECCA,The adventures of huckleberry finn,The Hound of the Baskervilles: Arthur convan Doyle,The invisible Man,The Strange case of dr Jeyll and mr Hyde,Treasure Island,Twenty Thosand Leagues under the sea"
Children Choice Publication Pvt,3,"Count on tips : textbook 8,Count on tips 5,Count on Tips 6"
Children's Book Trust,1,Stories of india
City Library Internationa,2,"Einstein future minds,Einstein future minds"
Collins,33,"Animals :fascinating facts,Collins english grammar and composition 5,Earthquakes and volcanoes : fascinating facts,Enhanced science 7,Enhanced science now 5,Enhanced science now 6,Enhanced science now 8,Exploring english  6,Exploring english 5,Exploring english 7,Exploring english 8,Knowledge lighthouse 3,Knowledge lighthouse 4,Knowledge lighthouse 5,Knowledge whizz 3,Knowledge whizz 4,Knowledge whizz 5,Knowledge whizz 7,Knowledge whizz 8,Oceans :fascinating facts,Perfect science assessments 10,Perfect science assessments 9,School Atlas,Smart tech 8,Weather: fascinating facts,Whizz kids 3,Whizz kids 4,Whizz kids 4,Whizz kids 5,Whizz kids 6,Whizz kids 6,Whizz kids 7,Whizz kids 8"
Cordova Learning Series,40,"Communicative reader: Literature reader,Enviornmental studies,Fun with computers,Fun with computers,Fun with computers,Fun with computers,General Knowledege 8,General knowledge,General knowledge online,Glitter: literature reader,Glitter: skill based course in communicative english,Glitter: skill based course in communicative english,Glitter: skill based course in communicative english,Grammar chest : a book of english grammar and composition,Jayanti hindi pathamala 5,Jayanti hindi pathmala 7,Jayanti hindi pathmala 8,Learning science,Linux,Linux,Linux,Linux,Masteing grammar: book of english grammar and composition,Masteing grammar: book of english grammar and composition,Mastering grammar 6,Mastering Grammar 7,Mastering Grammar: book of english grammar and compostion,Mastering Grammar: book of english grammar and compostion, class 8,Mathematics in everyday life,Mathematics in everyday life,Mathematics in everyday life,Mathematics in everyday life,Mathematics in everyday life,Mathematics in everyday life,Mathem"
Cordova Publication Pvt. Ltd.,85,"Biology Today,Celebration : A skill based course,Celebration : A skill based course,Celebration : A Skill based Course,Celebration : A skill based Course in Communicative English,Celebration : A skill based Course in Communicative English,Celebration : A skill based course in Communicative English,Celebration : A skill based Course in Communicative English work book,Celebration a skill based course in communicative English,Celebration a skill based course in communicative English,Celebration a skill based course in communicative English,Celebration a skill based course in communicative English: Main Coursebook,Celebration a Skill in Communicative English,Celebration: A skill Based course in Communicative english,Chemistry Today,Chemistry Today,Chemistry Today,Chemistry today,  class 9,Computer  Made Friendly,Computer Update,Computer Update,Computer Update,Computers  Update,Computers : Made friendly,Computers in Everyday Life,Computers in everyday life,Computers in everyday life,Computers in everyday life,Comp"
Cordova Publications pvt. Ltd,22,"Explore mathematics: class 1,Explore mathematics: class 2,Explore mathematics: class 4,Explore mathematics: class 5,Explore mathematics: class 6,Explore mathematics: class 7,Explore mathematics: class 8,Mastering Grammar,My Wonderful Book Of Social Science,My Wonderful Book of Social Science,Naya Utashav hindi pathamala: class 1,Naya Utashav hindi pathamala: class 2,Naya Utashav hindi pathamala: class 3,Naya Utashav hindi pathamala: class 4,Naya Utashav hindi pathamala: class 5,Naya Utashav hindi pathamala: class 6,Naya Utashav hindi pathamala: class 7,Naya Utashav hindi pathamala: class 8,Treasures of english: a skill based couse in communicative english, class 1,Treasures of english: a skill based couse in communicative english, class 2,Treasures of english: a skill based couse in communicative english, class 4,Treasures of english: a skill based couse in communicative english, class 8"
Cordova Publications Pvt.Ltd,4,"Chemistry,class12,Mathematics,class 12,My Wonderful book of Social Science,Physics,class12"
Corgi books,3,"The cobra,The fist of God,The veteran"
Cosmos bookhives pvt Ltd,1,Indian Heritage quiz book
Creative kids edu solutions pvt ltd,1,Excel in information technology  10
D.K.Publishing,5,"100 Indians who made history,Chhota Bheem,Children's illustrated encyclopedia,Children's illustrated internet linked encyclopedia,Illustrated Oxford dictionary"
Danpat Rai Publication,4,"Mathematics Vol. 1, class 12,Mathematics Vol. 2, class 12,Mathematics, class 9,move fast with Computer Science with C++, class 12"
Devjyoti Books Pvt Ltd.,12,"4776,Bravia best resoursed audio visual integrated assignment: English : Reading, writing, grammar,Bravia best resoursed audio visual integrated assignment: English : Reading, writing, grammar,Bravia best resoursed audio visual integrated assignment: English : Reading, writing, grammar,Bravia english 7,Bravia literature companion,Bravia literature Companion,Diary of a young girl,Ratnadip : Pathyapustak 6,The canterville ghost: Oscar Wilde,Three men in a boat,Unified English"
Dhanapat Rai & Co.,52,"Business studies 11,Business studies 11,Business studies 12,Business studies 12,Computer science with C++ 11th Standard,Computer science with C++ vol 1,Computer science with python:textbook,Indian economic development 12,Information technology,Information technology,Information technology,INFORMATION TECHNOLOGY 10,Information Technology 9,Intoductory Macro Economics 12,Introductory macro economics 12,Lab manuals mathematics: class 9,Macro economics,Manak hindi vyakaran 7,Manak hindi vyakaran 8,Manak hindi vyakaran evam rachana: class 7,Manak hindi vyakaran evam rachana: class 8,Manak hindi vyakaran evam rachana: class 9 & 10, course B,Mathematics  6,Mathematics 10,Mathematics 11,Mathematics 11,Mathematics 11,Mathematics 11,Mathematics 12 vol- 2,Mathematics 12 vol-1,Mathematics 7,Mathematics 8,Mathematics 9,Mathematics 9,Mathematics 9,Mathematics 9 vol.1,Mathematics vol  1 12,Mathematics Volume- 2 class 11,Mathematics Volume-1 class 11,Mathematics Volume-1 Class 12,Mathematics Volume-2 Class 12,Mathematics: vo"
Dhanpat Rai & co,45,"Business studies 12,Computer science with python 11,Computer science with python 12,Computer Science with Python 12,Computer science with Python 12,Computer science with python practical book 11,Foundation of Information Technology 9,Hindi vyakaran 9 & 10,Indian economic developement,Indian economic development 12,Information technology,Information Technology 10,Information Technology 10,Information Technology 9,Introductory macro economics12,Introductory Micro economics 11,Introductory Micro Economics 11,Introductory micro economics 11,Maathematics 10,Manak hindi vyakaran 6,Manak hindi vyakaran 8,Mathematics,Mathematics 10,Mathematics 10 vol. 1,Mathematics 10 vol. 2,Mathematics 10 Volume 1,Mathematics 10 Volume 2,Mathematics 11 vol -2,Mathematics 11 vol-1,Mathematics 12 vol-1,Mathematics 9,Mathematics 9,Mathematics 9 vol. 2,Mathematics 9 Volume 1,Mathematics 9 Volume 2,MCQ's in Mathematics 10,MCQ's in Mathematics 10,MCQ's in Mathematics 9 term 1& 2,Move fast with chemistry 12,Move fast with chemistry part 1,"
Dhanpat Rai & Co.,1,"Foundation of information technology: openoffice.org, class 9"
Dhanpat Rai & Co.Ltd,45,"A Textbook social science,A Textbook social science,Accountancy: Accounting for partnership firms and companies,Analysis of Financial statements,ATLAS: Social Science,Business Studies,Business Studies,Combined ATLAS based on Social Science,Computer Science with C ++ , Vol.2,Computer Science with C ++, Vol.1,Computer with C++, Vol. 1,Computer with C++, Vol. 2,Effectual mathematics for litte mathematician,Effectual mathematics for litte mathematician,Effectual mathematics for litte mathematician,Effectual mathematics for litte mathematician,Foundation of Information Technology,Foundation of Information technology,Foundation of Information Technology,Foundation of Information technology,Foundation of Information technology,Foundation of Information technology,Foundation of Information technology,Foundation of Information technology, class 10,Foundation of Information technology, class 10,Introductory Macroeconomics,Introductory Macroeconomics,lab Manual in Science,Lab Manual Mathematics,Lab Manual Mathematics,La"
Dhanpat Rai &Co,1,Computer scinece with C++
Dhanpat Rai &Co (Pvt.) Ltd,11,"Business Studies,Business Studies,part-A,Business Studies,part-B,Introductory Macro Economics,Introductory Micro Economics,Mathematics vol.1,Mathematics vol.1,Mathematics vol.1,Mathematics vol.2,New Simplified Physics vol.1,New Simplified Physics vol.2"
Dhanpat Rai and Company,2,"Project work and test assignments,Universal explorer general Knowledge"
Dhanpat Rai Paulication,1,Mathematics
Dhanpat Rai Publications,20,"Business Studies,Business Studies,Business studies, class 11,Business studies, class 12,Indian Economic Development,Indian economic development, class 11,Introductory Macro Economics,Introductory macroeconomics, class 12,Introductory Micro Economics,Introductory Microeconomics, class 12,Mathematics,Mathematics: class 10,Mathematics: class 11,Mathematics: class 9,Mathematics: vol 1, class 12,Mathematics: vol 2, class 12,Objectives mathematics for JEE and other Engineering Entrance Examinations , Vol. 1,Objectives mathematics for JEE and other Engineering Entrance Examinations , Vol. 2,Statistics for Economics,Statistics for economics, class 11"
Disha Publications,3,"Objective Mathematics  for JEE mains,Objective Physics for JEE mains,Social science workbook term 1 10"
Divine Child Book Trust,2,"Step to E V S  Environmental Studies,Steps to Social Science"
DK Publishing,7,"100 inventions that made history,Chhota Bheem:bheem goes to the zoo,Chhota Bheem:bheem goes to the zoo,Geography of the world,Indian century,Making things,Visual dictionary"
DNA  education,4,"English MCQ 10,Hindi MCQ,Science MCQ 10,Social Science MCQ 10"
Dorling Kindersely Pvt. Ltd,3,"Effective Java, 2nd ed.,Introducing HTML 5, 2nd ed.,Marketing management, 3rd ed."
Dorling Kindersley,1,Successful manager''s handbook
Doubleday,1,Da Vinci code
Dover Publications,1,World''s great speeches :292 speeches from Pericles to Nelson Mandela
Dreambuilders,1,The business of the 21st century
Dreamland Publications,3,"Manthan Hindi Pathyapustak,Manthan Hindi Pathyapustak,Manthan Hindi Pathypustak"
Eduline Publishers,22,"Connect with Computers,Connect with Computers,Connect with Computers,Connect with Computers,Connect with Computers,Connect with Computers,Connect with Computers,Connect with General Knowledge,Connect with General Knowledge,Connect with General Knowledge,Connect with General Knowledge,Connect with General Knowledge,Connect with General Knowledge,Connect with General Knowledge,Connect with General Knowledge,Connect with Mathematics,Connect with Mathematics,Connect with Mathematics,Connect with Mathematics,Learning edge Social studies,Reasoning Aptitude 7,Start up GK 5"
Edutree publisers pvt ltd,22,"Count your blessings 1,Count your blessings 2,Count your blessings 3,Count your blessings 4,Count your blessings 5,Count your blessings 6,Count your blessings 7,Count your Blessings 8,Grow up with maths 5,Grow up with Maths 5,Manthan pathaypushtak 3,Manthan pathaypushtak 4,Manthan pathaypushtak 5,Manthan pathaypushtak 6,Manthan pathaypushtak 7,Manthan pathaypushtak 8,Rise up series GK 7,Riseup !GK 5,Riseup series gk,Riseup series GK 3,Riseup series GK 6,Start up gk 3"
Elevate Pvt.Ltd,1,English
Elevate research and development team,1,Breathing in bodhi
Embassy books,2,"177 mental toughness secrets of the world class,The miracles of your mind"
ETG Books,2,"Olympiad Explorer Mathematics: EduHeal Foundation Nationwide Interctive Maths Olympiad,Olympiad Explorer Science : eduheal Foundation National /International Science Olympiads"
